County,Population 2010,Population 2011,Population 2012,Population 2013,Population 2014,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019
Total,6724540,6767900,6817770,6882400,6968170,7061410,7183700,7310300,7427570,7546410
Adams,18728,18950,19050,19200,19400,19410,19510,19870,20020,20150
Asotin,21623,21650,21700,21800,21950,22010,22150,22290,22420,22520
Benton,175177,177900,180000,183400,186500,188590,190500,193500,197420,201800
Chelan,72453,72700,73200,73600,74300,75030,75910,76830,77800,78420
Clallam,71404,71600,72000,72350,72500,72650,73410,74240,75130,76010
Clark,425363,428000,431250,435500,442800,451820,461010,471000,479500,488500
Columbia,4078,4100,4100,4100,4080,4090,4050,4100,4150,4160
Cowlitz,102410,102700,103050,103300,103700,104280,104850,105900,107310,108950
Douglas,38431,38650,38900,39280,39700,39990,40720,41420,42120,42820
Ferry,7551,7600,7650,7650,7660,7710,7700,7740,7780,7830
Franklin,78163,80500,82500,84800,86600,87150,88670,90330,92540,94680
Garfield,2266,2250,2250,2250,2240,2260,2200,2200,2210,2220
Grant,89120,90100,91000,91800,92900,93930,94610,95630,97350,98740
Grays Harbor,72797,72900,73150,73200,73300,73110,72820,72970,73610,74160
Island,78506,78800,79350,79700,80000,80600,82910,82790,83860,84820
Jefferson,29872,30050,30175,30275,30700,30880,31090,31360,31590,31900
King,1931249,1942600,1957000,1981900,2017250,2052800,2105100,2153700,2190200,2226300
Kitsap,251133,253900,254500,254000,255900,258200,262590,264300,267120,270100
Kittitas,40915,41300,41500,41900,42100,42670,43710,44730,45600,46570
Klickitat,20318,20500,20600,20700,20850,21000,21270,21660,21980,22430
Lewis,75455,76000,76300,76200,76300,76660,76890,77440,78380,79480
Lincoln,10570,10600,10675,10675,10700,10720,10640,10700,10810,10960
Mason,60699,61100,61450,61800,62000,62200,62320,63190,64020,64980
Okanogan,41120,41200,41425,41500,41700,41860,41730,42110,42490,42730
Pacific,20920,20900,20970,21000,21100,21210,21180,21250,21420,21640
Pend Oreille,13001,13000,13100,13150,13210,13240,13290,13370,13540,13740
Pierce,795225,802150,808200,814500,821300,830120,844490,859400,872220,888300
San Juan,15769,15900,15925,16000,16100,16180,16320,16510,16810,17150
Skagit,116901,117400,117950,118600,119500,120620,122270,124100,126520,129200
Skamania,11066,11150,11275,11300,11370,11430,11500,11690,11890,12060
Snohomish,713335,717000,722900,730500,741000,757600,772860,789400,805120,818700
Spokane,471221,472650,475600,480000,484500,488310,492530,499800,507950,515250
Stevens,43531,43600,43700,43800,43900,44030,44100,44510,45030,45570
Thurston,252264,254100,256800,260100,264000,267410,272690,276900,281700,285800
Wahkiakum,3978,4000,4025,4020,4010,3980,4000,4030,4100,4190
Walla Walla,58781,58800,59100,59500,60150,60650,60730,61400,61800,62200
Whatcom,201140,202100,203500,205800,207600,209790,212540,216300,220350,225300
Whitman,44776,44800,45950,46000,46500,47250,47940,48640,49210,50130
Yakima,243231,244700,246000,247250,248800,249970,250900,253000,254500,255950